,Data,2947 - Exportações - Produtos básicos - US$
0,10/2001,0.07149391029919894
1,11/2001,0.03163422467196719
2,12/2001,0.02714483385455957
3,01/2002,0.005349699857042728
4,02/2002,0.0
5,03/2002,0.031238484594456495
6,04/2002,0.06399777710266949
7,05/2002,0.05359676810108366
8,06/2002,0.020517607535832316
9,07/2002,0.16535348031555042
10,08/2002,0.1192073005687643
11,09/2002,0.2054787941837019
12,10/2002,0.14470605354457727
13,11/2002,0.07086844597014016
14,12/2002,0.05950796310792644
15,01/2003,0.05150532844113423
16,02/2003,0.059457523925882244
17,03/2003,0.08941105701487095
18,04/2003,0.12767464631838527
19,05/2003,0.1596522753507053
20,06/2003,0.13406894715319093
21,07/2003,0.11557666223089635
22,08/2003,0.1468064415009387
23,09/2003,0.19349720124702535
24,10/2003,0.20765113489349246
25,11/2003,0.10533225193304557
26,12/2003,0.1101268597685306
27,01/2004,0.12174797315927594
28,02/2004,0.10549753977190818
29,03/2004,0.21626202534119937
30,04/2004,0.14275080320594252
31,05/2004,0.2327751260551298
32,06/2004,0.3394762181303545
33,07/2004,0.259422958233175
34,08/2004,0.28441434454078646
35,09/2004,0.2429994447848337
36,10/2004,0.19647010363811596
37,11/2004,0.16975058105270374
38,12/2004,0.16350827598897932
39,01/2005,0.1257496227047947
40,02/2005,0.13763213800376772
41,03/2005,0.1933855580689507
42,04/2005,0.2668313943296736
43,05/2005,0.28971784349139335
44,06/2005,0.29812424679485156
45,07/2005,0.4011641765612464
46,08/2005,0.40030895852144593
47,09/2005,0.32321505469615697
48,10/2005,0.2699322626806883
49,11/2005,0.3105058927942239
50,12/2005,0.28164024486386724
51,01/2006,0.2545852448297696
52,02/2006,0.1680408051509778
53,03/2006,0.3100114772898919
54,04/2006,0.2660764910810097
55,05/2006,0.2785871629077811
56,06/2006,0.3298792361135922
57,07/2006,0.508543808347306
58,08/2006,0.4553798535246138
59,09/2006,0.42207651924452966
60,10/2006,0.38378445776307946
61,11/2006,0.343733546140497
62,12/2006,0.31446096961051173
63,01/2007,0.3146853938611894
64,02/2007,0.27624892062592754
65,03/2007,0.3859740611622348
66,04/2007,0.4452561804048289
67,05/2007,0.47123391638118745
68,06/2007,0.4209705355250885
69,07/2007,0.5380143429618798
70,08/2007,0.570958776682271
71,09/2007,0.4804962957015361
72,10/2007,0.6361219207364677
73,11/2007,0.4580743390672762
74,12/2007,0.5380186382980885
75,01/2008,0.4205867631786368
76,02/2008,0.3939361898358951
77,03/2008,0.37702578584940505
78,04/2008,0.5025774564410694
79,05/2008,1.0
80,06/2008,0.8974144177844365
81,07/2008,0.9945430187833257
82,08/2008,0.9766816805194829
83,09/2008,0.8762899697032749
84,10/2008,0.8435735768140251
85,11/2008,0.5774450387690346
86,12/2008,0.5199892744808625
87,01/2009,0.36299535549312556
88,02/2009,0.35379119483782134
89,03/2009,0.5013498160717038
90,04/2009,0.6331075758949054
