,Data,2974 - Exportações - Produtos semimanufaturados - US$
0,10/2001,0.1104127228039326
1,11/2001,0.07574468805143603
2,12/2001,0.06768008197044856
3,01/2002,0.05725665537525976
4,02/2002,0.018759811852777863
5,03/2002,0.024582593076635018
6,04/2002,0.031201448867426346
7,05/2002,0.013367511740489113
8,06/2002,0.0
9,07/2002,0.17605863801331
10,08/2002,0.14914103266578638
11,09/2002,0.1982686089553024
12,10/2002,0.23016189317070357
13,11/2002,0.1399370837548135
14,12/2002,0.11183721059889046
15,01/2003,0.17784717878055878
16,02/2003,0.11917249488601572
17,03/2003,0.08606090769639013
18,04/2003,0.07578948507115407
19,05/2003,0.1639609397099257
20,06/2003,0.14976117486014584
21,07/2003,0.19105574012106902
22,08/2003,0.20473113585565206
23,09/2003,0.21265792817011403
24,10/2003,0.222543175883271
25,11/2003,0.1241697099679645
26,12/2003,0.22910155854868075
27,01/2004,0.19307112700042417
28,02/2004,0.15054755073789555
29,03/2004,0.22740632413254036
30,04/2004,0.1137020244223706
31,05/2004,0.202829267345158
32,06/2004,0.2856543308741179
33,07/2004,0.34064255364069196
34,08/2004,0.28651333185293804
35,09/2004,0.31498037967927095
36,10/2004,0.24803408983630343
37,11/2004,0.3078269119049899
38,12/2004,0.2990063212904265
39,01/2005,0.2666971416743051
40,02/2005,0.2906048410509116
41,03/2005,0.3664614410023438
42,04/2005,0.2961783471038264
43,05/2005,0.330607040805347
44,06/2005,0.38245516641519317
45,07/2005,0.3669693609191018
46,08/2005,0.2944963766461338
47,09/2005,0.2990013039264613
48,10/2005,0.3098571973167167
49,11/2005,0.3936870191396542
50,12/2005,0.403595991595587
51,01/2006,0.3110648407346034
52,02/2006,0.29608415198115023
53,03/2006,0.4196053955580181
54,04/2006,0.3042922820434243
55,05/2006,0.310132208167754
56,06/2006,0.5078721792974882
57,07/2006,0.5604124685549808
58,08/2006,0.6002157924332348
59,09/2006,0.5010943478528971
60,10/2006,0.5508886229775598
61,11/2006,0.5265668106312049
62,12/2006,0.5624920038052978
63,01/2007,0.4997397589683116
64,02/2007,0.40560368298400273
65,03/2007,0.45657705208202526
66,04/2007,0.4413139828423488
67,05/2007,0.5533073724380343
68,06/2007,0.5417008593218653
69,07/2007,0.5670870383478732
70,08/2007,0.6264991830983626
71,09/2007,0.5252594801992359
72,10/2007,0.6585821882725496
73,11/2007,0.5809520450649253
74,12/2007,0.5216523115883744
75,01/2008,0.6125952272504095
76,02/2008,0.5758365361980473
77,03/2008,0.46165376456288665
78,04/2008,0.5323079772083907
79,05/2008,0.8518677711273714
80,06/2008,0.683763720109661
81,07/2008,1.0
82,08/2008,0.927228697635903
83,09/2008,0.9101731781745745
84,10/2008,0.9227984736017143
85,11/2008,0.6258219391637116
86,12/2008,0.42214248320126835
87,01/2009,0.4676603781247435
88,02/2009,0.32269866178487827
89,03/2009,0.33860901007874944
90,04/2009,0.37552526338558045
