,Data,3001 - Exportações - Produtos manufaturados - US$
0,10/2001,0.09924422356057988
1,11/2001,0.08177900624233658
2,12/2001,0.07229066618799967
3,01/2002,0.0
4,02/2002,0.01922079285220679
5,03/2002,0.06471231693815471
6,04/2002,0.0827526069077531
7,05/2002,0.07215435232211709
8,06/2002,0.05984636806964305
9,07/2002,0.14517017955902867
10,08/2002,0.13925989540121209
11,09/2002,0.13191092134441978
12,10/2002,0.18218776503385659
13,11/2002,0.10675950386605138
14,12/2002,0.14454677177739472
15,01/2003,0.06785863070469095
16,02/2003,0.10648134822090383
17,03/2003,0.11432143820502683
18,04/2003,0.14295185778208014
19,05/2003,0.17662738052274107
20,06/2003,0.13618418590022036
21,07/2003,0.18215651708709563
22,08/2003,0.17941993205011814
23,09/2003,0.24687741940917474
24,10/2003,0.2714556602443303
25,11/2003,0.19430908098130034
26,12/2003,0.256397783194642
27,01/2004,0.1265454244948495
28,02/2004,0.15008837292429017
29,03/2004,0.3073401834484262
30,04/2004,0.24347967677922622
31,05/2004,0.3040913414605505
32,06/2004,0.3528171206847819
33,07/2004,0.37389110906538914
34,08/2004,0.36639591736819277
35,09/2004,0.3841925238634545
36,10/2004,0.4480645725047082
37,11/2004,0.36249197253110566
38,12/2004,0.5063650634578951
39,01/2005,0.3167513960614058
40,02/2005,0.34416523463113213
41,03/2005,0.4622870802126261
42,04/2005,0.40358122047678435
43,05/2005,0.45024381182610307
44,06/2005,0.47707603394934806
45,07/2005,0.4916965537733379
46,08/2005,0.5419862354071115
47,09/2005,0.5308441537643422
48,10/2005,0.48429627858798086
49,11/2005,0.533153759040813
50,12/2005,0.5800988882621124
51,01/2006,0.41083536298991463
52,02/2006,0.4356537039671804
53,03/2006,0.6059093863181824
54,04/2006,0.4703066085955394
55,05/2006,0.525869232377931
56,06/2006,0.5708659693300665
57,07/2006,0.6570257872841687
58,08/2006,0.7011274309840131
59,09/2006,0.6262080201520825
60,10/2006,0.6676028904673882
61,11/2006,0.6038076394968617
62,12/2006,0.6785262523970661
63,01/2007,0.5171170299048642
64,02/2007,0.4759978392564794
65,03/2007,0.7233263782451773
66,04/2007,0.6024628478754425
67,05/2007,0.7031427004048397
68,06/2007,0.6851118508979418
69,07/2007,0.6938408771243371
70,08/2007,0.7647461925327228
71,09/2007,0.772889034788752
72,10/2007,0.7803506265536106
73,11/2007,0.7561365088166474
74,12/2007,0.7136415729442414
75,01/2008,0.6642648893228115
76,02/2008,0.639957926969046
77,03/2008,0.6813856603184076
78,04/2008,0.7228074101921063
79,05/2008,0.801895809145166
80,06/2008,0.8653399422688837
81,07/2008,0.9117174988719123
82,08/2008,0.8610484427672465
83,09/2008,1.0
84,10/2008,0.8181186785103061
85,11/2008,0.7122094312687008
86,12/2008,0.7194606829264123
87,01/2009,0.31299855162884904
88,02/2009,0.35492607250310504
89,03/2009,0.4892878501391732
90,04/2009,0.41200130476247643
