,Data,3034 - Importações - Total (MDIC) - US$
0,10/2001,0.09690879962711244
1,11/2001,0.0580831885432935
2,12/2001,0.007714065531886027
3,01/2002,0.028872034056125734
4,02/2002,0.0
5,03/2002,0.0189113568734445
6,04/2002,0.05285798959295365
7,05/2002,0.047402597597599544
8,06/2002,0.00014768900346884273
9,07/2002,0.1158103421561372
10,08/2002,0.055305537103311625
11,09/2002,0.04304442799744887
12,10/2002,0.06305104493817168
13,11/2002,0.03209852610248512
14,12/2002,0.0032027196845478
15,01/2003,0.018003910999061595
16,02/2003,0.03512953223531709
17,03/2003,0.021737741438044772
18,04/2003,0.042146901242657325
19,05/2003,0.032583256262326915
20,06/2003,0.008828582022958026
21,07/2003,0.046416451760659644
22,08/2003,0.023957062359683118
23,09/2003,0.0873508316531417
24,10/2003,0.11638487061705935
25,11/2003,0.06204975453349312
26,12/2003,0.04319576114117621
27,01/2004,0.05833399446620832
28,02/2004,0.025901021745244307
29,03/2004,0.13864156098878852
30,04/2004,0.08805656994757424
31,05/2004,0.1023550865746399
32,06/2004,0.15180387337604848
33,07/2004,0.151802476421213
34,08/2004,0.15844226724230345
35,09/2004,0.16767660578011775
36,10/2004,0.1738878932684755
37,11/2004,0.19080138158166995
38,12/2004,0.1628895837152937
39,01/2005,0.13275991946575158
40,02/2005,0.11259583277352672
41,03/2005,0.17881727995010996
42,04/2005,0.13768484359345703
43,05/2005,0.2117439226727824
44,06/2005,0.19776947728859204
45,07/2005,0.18929260992854605
46,08/2005,0.30594603425796474
47,09/2005,0.20765760200684516
48,10/2005,0.20147200714156224
49,11/2005,0.23593882737679459
50,12/2005,0.2251364999244508
51,01/2006,0.21738499912060424
52,02/2006,0.18321457361007534
53,03/2006,0.3067149200215985
54,04/2006,0.23801287531646523
55,05/2006,0.27688997998054465
56,06/2006,0.2824087475731061
57,07/2006,0.3270070006186463
58,08/2006,0.4071187139451681
59,09/2006,0.3353528401493352
60,10/2006,0.3801383008733433
61,11/2006,0.37444875423533497
62,12/2006,0.2715796932699407
63,01/2007,0.36038143043049864
64,02/2007,0.27271274443192595
65,03/2007,0.4404401485179317
66,04/2007,0.34649489540129386
67,05/2007,0.4552813065067177
68,06/2007,0.41981989500051986
69,07/2007,0.5251347041477648
70,08/2007,0.5809430026342848
71,09/2007,0.519139688984713
72,10/2007,0.6364540965950638
73,11/2007,0.6145023726532284
74,12/2007,0.5121285316787657
75,01/2008,0.6375357195189133
76,02/2008,0.6089143084562249
77,03/2008,0.5857049949640594
78,04/2008,0.6355296364997952
79,05/2008,0.8420007851052734
80,06/2008,0.8874677031894834
81,07/2008,0.9769854064664559
82,08/2008,1.0
83,09/2008,0.9866710054758033
84,10/2008,0.9813250153442582
85,11/2008,0.6919320102804741
86,12/2008,0.5768085429730481
87,01/2009,0.4921393032169804
88,02/2009,0.31519082433268264
89,03/2009,0.4737328289968965
90,04/2009,0.37240993943837286
