,Data,4193 - Exportações (Kg) - Total - kg
0,10/2001,0.2942573316213415
1,11/2001,0.20944901458626386
2,12/2001,0.18138275924926767
3,01/2002,0.1833511968287399
4,02/2002,0.12479735964942817
5,03/2002,0.20737835987389258
6,04/2002,0.26754897951370493
7,05/2002,0.156986001070894
8,06/2002,0.0
9,07/2002,0.5901751513983989
10,08/2002,0.46943707962649084
11,09/2002,0.5346889203363872
12,10/2002,0.39605795961651025
13,11/2002,0.2636815913494399
14,12/2002,0.24203370485785725
15,01/2003,0.31204649024599096
16,02/2003,0.2657880489340162
17,03/2003,0.28146571300846723
18,04/2003,0.337138917106629
19,05/2003,0.39778225171151405
20,06/2003,0.2745973682469318
21,07/2003,0.29088991735939973
22,08/2003,0.2934508540338647
23,09/2003,0.4997047040143281
24,10/2003,0.5562868661780969
25,11/2003,0.27850076686785485
26,12/2003,0.2312232941615172
27,01/2004,0.4703800894657961
28,02/2004,0.2890812952848939
29,03/2004,0.5667237046413914
30,04/2004,0.17648747731186387
31,05/2004,0.31080749874839864
32,06/2004,0.5063551253110797
33,07/2004,0.5758211228150558
34,08/2004,0.5985766774813414
35,09/2004,0.4960325785182248
36,10/2004,0.40912119368349975
37,11/2004,0.4598145580036562
38,12/2004,0.41378558496661366
39,01/2005,0.3407918274659877
40,02/2005,0.39407547582395674
41,03/2005,0.4469725274687141
42,04/2005,0.4776207831483671
43,05/2005,0.4422450265616199
44,06/2005,0.4792966127793019
45,07/2005,0.56462598501279
46,08/2005,0.5867409037108965
47,09/2005,0.4811077446140072
48,10/2005,0.4587789458610557
49,11/2005,0.547753381620011
50,12/2005,0.531080434739674
51,01/2006,0.43552763501761116
52,02/2006,0.3618841519254503
53,03/2006,0.6090588287924347
54,04/2006,0.39385093258207715
55,05/2006,0.3267205113481283
56,06/2006,0.5326849529572512
57,07/2006,0.8812683104462338
58,08/2006,0.6428230029195022
59,09/2006,0.566344455084304
60,10/2006,0.6124023665494871
61,11/2006,0.5326288097542539
62,12/2006,0.48154838429890934
63,01/2007,0.545970378494792
64,02/2007,0.43599905682128004
65,03/2007,0.5463117650449796
66,04/2007,0.5609988993604463
67,05/2007,0.6263998898080255
68,06/2007,0.5359900988477057
69,07/2007,0.7620363237740042
70,08/2007,0.7250214260247678
71,09/2007,0.6170340376728661
72,10/2007,0.7289750996775599
73,11/2007,0.5692623709588517
74,12/2007,0.5736664994037032
75,01/2008,0.5779710585534249
76,02/2008,0.5252094142861252
77,03/2008,0.3122919018335004
78,04/2008,0.45132239161131726
79,05/2008,1.0
80,06/2008,0.7159355276351204
81,07/2008,0.7939610806467163
82,08/2008,0.7100926493631543
83,09/2008,0.7415041834402205
84,10/2008,0.6933656379557729
85,11/2008,0.4645487689280571
86,12/2008,0.407852612758674
87,01/2009,0.4050953965239533
88,02/2009,0.40361114494284944
89,03/2009,0.5506362340577665
90,04/2009,0.6436384518727305
