,Data,4221 - Exportações (Kg) - Produtos semimanufaturados - kg
0,10/2001,0.4695995348017075
1,11/2001,0.4993458767217262
2,12/2001,0.38077423779333647
3,01/2002,0.3366475826882576
4,02/2002,0.18988784401798958
5,03/2002,0.1850222624210584
6,04/2002,0.19332716047866222
7,05/2002,0.0
8,06/2002,0.06947484653816721
9,07/2002,0.7141070166552883
10,08/2002,0.5367779863100197
11,09/2002,0.752098749257647
12,10/2002,0.8645490797942825
13,11/2002,0.4898208145974578
14,12/2002,0.3736839660180779
15,01/2003,0.5203902346916516
16,02/2003,0.3854762250736112
17,03/2003,0.23320035597411398
18,04/2003,0.0953469899558585
19,05/2003,0.4364744376383796
20,06/2003,0.3775705195868016
21,07/2003,0.43115028216749635
22,08/2003,0.6308776131482206
23,09/2003,0.6799534872924797
24,10/2003,0.6623652861330356
25,11/2003,0.3446693362075243
26,12/2003,0.7020873181556102
27,01/2004,0.4486077733767842
28,02/2004,0.35981917005724656
29,03/2004,0.5502689043754216
30,04/2004,0.09550310947075719
31,05/2004,0.3538505691863713
32,06/2004,0.6381477841187915
33,07/2004,0.7706141540919462
34,08/2004,0.7237114096523096
35,09/2004,0.6919511865449446
36,10/2004,0.5881765250886426
37,11/2004,0.7163481914320824
38,12/2004,0.6123786318881239
39,01/2005,0.4796890532629377
40,02/2005,0.6770708147217697
41,03/2005,0.7171804403460804
42,04/2005,0.46484663551435884
43,05/2005,0.6167877003535605
44,06/2005,0.7431403514086876
45,07/2005,0.7337665248463998
46,08/2005,0.5351316827657802
47,09/2005,0.5992029363354978
48,10/2005,0.564529712604052
49,11/2005,0.8583632731142352
50,12/2005,0.6734413815251232
51,01/2006,0.5093838514741595
52,02/2006,0.4788146751417241
53,03/2006,0.6407288570054439
54,04/2006,0.3583556358605216
55,05/2006,0.2770629909416927
56,06/2006,0.7392252495491973
57,07/2006,0.8839709762658385
58,08/2006,0.7650238268753053
59,09/2006,0.6522380328822024
60,10/2006,0.7876237017199714
61,11/2006,0.7047375248275416
62,12/2006,0.8665785097629466
63,01/2007,0.6868423266896473
64,02/2007,0.4272568010036029
65,03/2007,0.460808515444376
66,04/2007,0.3923236621899621
67,05/2007,0.6097102322736287
68,06/2007,0.6686787082965715
69,07/2007,0.6956110671611044
70,08/2007,0.7618846595988742
71,09/2007,0.6081697018852004
72,10/2007,0.8277997817620089
73,11/2007,0.7105526288856825
74,12/2007,0.5356443821443186
75,01/2008,0.5777713478917375
76,02/2008,0.5759943759743129
77,03/2008,0.324628951107307
78,04/2008,0.4160553212019468
79,05/2008,0.8088106583067163
80,06/2008,0.6213308679628984
81,07/2008,1.0
82,08/2008,0.8231154526237416
83,09/2008,0.7537547144182077
84,10/2008,0.8424747730713238
85,11/2008,0.7275608450447364
86,12/2008,0.5227155116339368
87,01/2009,0.6083154016746506
88,02/2009,0.4288100318155265
89,03/2009,0.3928330548581012
90,04/2009,0.46476968894678233
