,Data,4248 - Exportações (Kg) - Produtos manufaturados - kg
0,10/2001,0.26245429662722586
1,11/2001,0.23991168233657045
2,12/2001,0.12548889086251802
3,01/2002,0.090918410002093
4,02/2002,0.0
5,03/2002,0.2429613308127846
6,04/2002,0.11409596967499291
7,05/2002,0.20417420372021078
8,06/2002,0.17682637209336527
9,07/2002,0.42816097051976465
10,08/2002,0.390502338656892
11,09/2002,0.5194415706186272
12,10/2002,0.5036533882277041
13,11/2002,0.2797168240488763
14,12/2002,0.258017509354158
15,01/2003,0.25482924406832386
16,02/2003,0.22647158574478576
17,03/2003,0.20353444517550834
18,04/2003,0.267355117640392
19,05/2003,0.4201183270783383
20,06/2003,0.22142298274292616
21,07/2003,0.5417827967964571
22,08/2003,0.3793104800823113
23,09/2003,0.6028678129471158
24,10/2003,0.6747164967387015
25,11/2003,0.4899536700563428
26,12/2003,0.44159564051670475
27,01/2004,0.3028266129320133
28,02/2004,0.2436985161867803
29,03/2004,0.6238229262452234
30,04/2004,0.47745662528514476
31,05/2004,0.545440355507148
32,06/2004,0.6236751666961035
33,07/2004,0.6604620871852546
34,08/2004,0.6084333601864264
35,09/2004,0.7263886084880681
36,10/2004,0.5432044537085269
37,11/2004,0.6060443229219786
38,12/2004,0.6653378858047602
39,01/2005,0.4882417393593793
40,02/2005,0.3955522128984118
41,03/2005,0.5938042647193121
42,04/2005,0.49619039779868446
43,05/2005,0.5453348264790286
44,06/2005,0.658841186778477
45,07/2005,0.7545223029750251
46,08/2005,0.7919644622890566
47,09/2005,0.6889483265343123
48,10/2005,0.6017882317015076
49,11/2005,0.7132410949402107
50,12/2005,0.6330740324967846
51,01/2006,0.6544792074967102
52,02/2006,0.4264515946564934
53,03/2006,0.6936254189482246
54,04/2006,0.5203183967023343
55,05/2006,0.5189442350386243
56,06/2006,0.5787228388842826
57,07/2006,0.9999999999999999
58,08/2006,0.811261003170504
59,09/2006,0.7065032090743343
60,10/2006,0.7746074927535228
61,11/2006,0.669517475224323
62,12/2006,0.7490586823298265
63,01/2007,0.613249243379686
64,02/2007,0.47810234040203525
65,03/2007,0.7651197599383964
66,04/2007,0.7128512620622779
67,05/2007,0.7346949648232252
68,06/2007,0.6787968018869687
69,07/2007,0.807336999989232
70,08/2007,0.8763624334567178
71,09/2007,0.6875835917606569
72,10/2007,0.751462405664827
73,11/2007,0.6530655375600384
74,12/2007,0.5014883780844773
75,01/2008,0.6451316037671823
76,02/2008,0.4945485637911
77,03/2008,0.4084659981175104
78,04/2008,0.5637836965860404
79,05/2008,0.6834999708502375
80,06/2008,0.6105526465469523
81,07/2008,0.7375905676441695
82,08/2008,0.6204820980808828
83,09/2008,0.5153946091638512
84,10/2008,0.6060525862319001
85,11/2008,0.40839760860063
86,12/2008,0.5854927949348195
87,01/2009,0.22026363965499685
88,02/2009,0.3410828237488557
89,03/2009,0.38959967378245575
90,04/2009,0.42932076113851436
